+-------------+--------------------+
|     Pair    |    volume(USDT)    |
+-------------+--------------------+
|  AAVE_BUSD  |  1193.25622076856  |
|  AAVE_USDT  |  5315.12172626624  |
|   ADA_BTC   | 1370.1693698020001 |
|   ADA_BUSD  |   905.113649804    |
|   ADA_USDC  |   205.483595786    |
|   ADA_USDT  |  33195.877099738   |
|  AION_USDT  | 191.59496112000002 |
|  ALGO_BUSD  |   4855.79651679    |
|  ALGO_USDT  | 111.72830352000001 |
|  ALPHA_BTC  | 631.6340870399999  |
|   AMP_BTC   |     525.35694      |
|   APE_USDT  |   2289.652898616   |
|  API3_USDT  | 796.2359549350001  |
|   AR_USDT   |   5711.195906256   |
|  ASTR_USDT  |   4181.428172754   |
|   ATA_USDT  |    350.4419916     |
|  AVAX_BUSD  |  1291.5097836809   |
|  AVAX_USDT  | 424762.6452369182  |
|   AVA_BTC   |   60807.4281345    |
|   AVA_USDT  |      1347.23       |
|   AXS_BUSD  | 82.27845819539999  |
|   AXS_USDT  |  14693.178473676   |
|  BAKE_USDT  |   5090.431476193   |
|   BAL_BUSD  | 131.54310661440002 |
|  BAND_USDT  |   594.647113432    |
|   BAT_USDT  | 237.25188645999998 |
|   BCH_USDT  | 18.235563371519998 |
|  BEAM_USDT  |   24101.04060629   |
|   BLZ_USDT  |     6778.5393      |
|   BNB_BTC   |  867.99786198366   |
|   BNB_BUSD  |  2380.78060971684  |
|   BNB_USDT  | 26019.36272777193  |
|   BSW_USDT  |   396.313219512    |
| BURGER_USDT | 90.49929454999999  |
|  CELR_USDT  | 2715.0648540869997 |
|  CHESS_USDT |   4042.516285496   |
|  COMP_USDT  | 613.5467905600001  |
|  COTI_USDT  | 6878.9244125000005 |
|   CRV_USDT  |   1715.566534689   |
|  DASH_USDT  |   52.86563602284   |
|   DCR_USDT  |      241.605       |
|  DENT_USDT  |    736.51804801    |
|   DGB_BUSD  |     2601.87174     |
|   DGB_USDT  | 8799.470784000001  |
|   DOCK_BTC  |    43.87847618     |
|  DODO_USDT  | 9026.265923775001  |
|  DOGE_USDT  |    308.59567648    |
|   DOT_USDT  | 3473.7346064922003 |
|  DREP_USDT  | 708.0975121600001  |
|  DYDX_USDT  |  10859.052852063   |
|  EGLD_BUSD  |  1477.23158658365  |
|  EGLD_USDT  |  10600.9683314019  |
|   ELF_ETH   |    463.21287966    |
|   ETC_USDT  |   671.7897143877   |
|   ETH_BTC   | 2405.173017718698  |
|   ETH_BUSD  | 12011.461781336006 |
|   ETH_USDC  | 18699.437294401578 |
|   ETH_USDT  | 186080.80881647256 |
|   FET_BTC   |    4721.6743728    |
|   FET_BUSD  |    150.8705638     |
|   FET_USDT  |    408.1529848     |
|   FIL_BUSD  | 136.85613000200001 |
|   FIO_BTC   | 1856.8291783999998 |
|   FIRO_BTC  |  13217.259024318   |
|  FIRO_USDT  |  71355.543491466   |
|   FLM_USDT  |   13609.1381453    |
|  FLOW_USDT  | 1670.1439307245998 |
|  FRONT_BUSD |     66.537846      |
|   FTM_USDT  |   6531.95401001    |
|   FTT_USDT  |   6239.835708152   |
|  GALA_USDT  | 1052.6322923999999 |
|   GLMR_BTC  |   702.766219248    |
|  GLMR_USDT  |  12247.379874093   |
|   GMT_BUSD  |   2492.123208624   |
|   GMT_USDT  |  353756.15880108   |
|  HBAR_USDT  | 160690.63426810002 |
|  HIVE_BUSD  |     5.85976496     |
|  HIVE_USDT  |   3641.00681336    |
|   HNT_BUSD  | 8.600424119000001  |
|   HNT_USDT  | 29410.776780000004 |
|   HOT_USDT  |    278.5459825     |
|   ICP_BUSD  | 211.96985655539999 |
|   ILV_BUSD  | 230.94284624774997 |
|   IMX_USDT  |  1690.6368439758   |
|   INJ_BTC   | 551.5613103119999  |
|  IOTX_USDT  |    805.96269432    |
|  IRIS_USDT  |    1476.439444     |
|  JASMY_USDT |  94339.357751023   |
|  KAVA_USDT  | 1896.7194075000002 |
|   KMD_BTC   | 91342.46226269999  |
|   KMD_USDT  |   160583.4204326   |
|   KNC_USDT  |   1170.666092124   |
|   KSM_BUSD  |  30.538677364225   |
|   LDO_BTC   | 864.2352578985999  |
|   LDO_BUSD  | 35.255637697000004 |
|   LIT_BUSD  |    47.986573635    |
|  LOKA_USDT  | 6170.207502697001  |
|   LRC_BNB   |   473.174827614    |
|   LTC_BNB   |   20.44029359799   |
|   LTC_BUSD  | 1771.876327870875  |
|   LTC_USDC  | 2035.6278356133598 |
|   LTC_USDT  | 1341.2213701478101 |
|   MANA_BTC  |   1295.88478064    |
|  MANA_USDT  |   95462.11514408   |
|  MATIC_BNB  | 39.396825506000006 |
|  MATIC_BUSD |  2507.9724692445   |
|  MATIC_USDT |  580434.41159548   |
|  MBOX_USDT  |   2642.596516698   |
|   MDT_USDT  |   763.163273894    |
|  MITH_USDT  |   177.940362768    |
|   NEO_BTC   | 349.15579774459997 |
|   OM_USDT   |   5683.84010076    |
|   ONE_BUSD  |    25.753306095    |
|   ONE_USDT  |    50.290038411    |
|   ORN_USDT  |  19916.784165964   |
|  PERL_USDT  |   1772.550851148   |
|  PERP_USDT  |  2913.2242391525   |
| PUNDIX_USDT |    167.72525882    |
|   PYR_USDT  |     1741.28292     |
|   QI_USDT   |    181.33642307    |
|   QNT_BUSD  | 2668.7990413283997 |
|   RAY_USDT  | 9178.929310032001  |
|  REEF_USDT  |    3066.6764168    |
|   REN_BTC   |    16.52576548     |
|   ROSE_BTC  |    154.29874236    |
|  ROSE_USDT  | 115.14320243100002 |
|   RSR_BUSD  | 635.2378208324999  |
|   RSR_USDT  | 611.9104196449999  |
|  RUNE_BUSD  |  23954.858734218   |
|  RUNE_USDT  | 197744.52206481603 |
| SANTOS_USDT |   789.5272754304   |
|  SCRT_USDT  |   303.896825752    |
|  SHIB_BUSD  |   74232.82340599   |
|  SHIB_USDT  |   17690.72559428   |
|   SKL_USDT  |   3234.71369948    |
|   SLP_BUSD  | 26.138805299999998 |
|   SLP_ETH   |   5766.62528475    |
|   SLP_USDT  | 17279.907086249998 |
|   SOL_USDT  | 181602.6078943318  |
|  STORJ_USDT |    68.56835454     |
|  SUSHI_USDT |   1466.568764121   |
|   SYS_USDT  | 11577.608680120002 |
|  TFUEL_BUSD |     1148.52825     |
|  TFUEL_USDT |     20060.9601     |
|  THETA_BTC  |   3581.852258389   |
|  THETA_BUSD |  1315.4126025545   |
|  THETA_USDT | 19763.181308675998 |
|   TKO_USDT  | 2388.8823881880003 |
|  TROY_USDT  | 19.879250000000003 |
|   UNI_BNB   |   722.4145824868   |
|   UNI_USDT  |  50344.8280132808  |
|   VET_BTC   |    982.13732442    |
|   VET_USDT  | 403.16320247000004 |
|   VITE_BTC  | 637.2890440799999  |
|   WAN_BTC   |      78.9012       |
|  WAVES_ETH  | 52.199836325199996 |
|  WNXM_USDT  |  74811.4164688212  |
|   XEM_BTC   | 6924.317599999999  |
|   XMR_BTC   | 18259.091830110996 |
|   XMR_BUSD  | 781.4503236119999  |
|   XMR_USDT  | 12588.925493902498 |
|   XRP_BUSD  | 36073.997930569996 |
|   XRP_ETH   |     3446.5658      |
|   XRP_USDC  |   63394.06338572   |
|   XRP_USDT  |  185120.56362328   |
|   XTZ_USDT  |  159873.784697211  |
|   XVG_USDT  | 229.24405463000002 |
|   YGG_USDT  |   1215.86924256    |
|   ZEC_BTC   |  1032.93257576376  |
|   ZEC_USDT  | 24796.947799909198 |
|   ZIL_BTC   |   1676.87967231    |
|   ZIL_USDT  | 21370.653619308003 |
+-------------+--------------------+
total Volume: 3949499.012598232
total active Pairs: 172 / 1181
Revenue cap 1974.749506299116
